complexity,path
9,x-pack/plugins/infra/common/alerting/logs/log_threshold/types.ts
1,x-pack/plugins/infra/common/alerting/metrics/index.ts
1,x-pack/plugins/infra/common/color_palette.ts
2,x-pack/plugins/infra/common/dependency_mocks/index_patterns.ts
4,x-pack/plugins/infra/common/ecs_allowed_list.ts
2,x-pack/plugins/infra/common/formatters/bytes.ts
1,x-pack/plugins/infra/common/formatters/get_custom_metric_label.ts
1,x-pack/plugins/infra/common/formatters/index.ts
6,x-pack/plugins/infra/common/infra_ml/anomaly_results.ts
9,x-pack/plugins/infra/common/infra_ml/job_parameters.ts
5,x-pack/plugins/infra/common/inventory_models/index.ts
2,x-pack/plugins/infra/common/inventory_models/intl_strings.ts
1,x-pack/plugins/infra/common/inventory_models/layouts.ts
1,x-pack/plugins/infra/common/inventory_models/toolbars.ts
9,x-pack/plugins/infra/common/log_analysis/job_parameters.ts
6,x-pack/plugins/infra/common/log_analysis/log_analysis_results.ts
6,x-pack/plugins/infra/common/log_sources/resolved_log_source_configuration.ts
5,x-pack/plugins/infra/common/runtime_types.ts
1,x-pack/plugins/infra/common/snapshot_metric_i18n.ts
1,x-pack/plugins/infra/common/source_configuration/source_configuration.ts
8,x-pack/plugins/infra/common/time/time_key.ts
2,x-pack/plugins/infra/common/time/time_scale.ts
2,x-pack/plugins/infra/common/utils/corrected_percent_convert.ts
2,x-pack/plugins/infra/common/inventory_models/shared/components/cloud_toolbar_items.tsx
1,x-pack/plugins/infra/common/inventory_models/shared/components/metrics_and_groupby_toolbar_items.tsx
5,x-pack/plugins/infra/public/alerting/inventory/rule_data_formatters.ts
4,x-pack/plugins/infra/public/alerting/log_threshold/rule_data_formatters.ts
21,x-pack/plugins/infra/public/alerting/log_threshold/validation.ts
1,x-pack/plugins/infra/public/alerting/metric_threshold/hooks/use_metric_threshold_alert_prefill.ts
4,x-pack/plugins/infra/public/alerting/metric_threshold/hooks/use_metrics_explorer_chart_data.ts
7,x-pack/plugins/infra/public/alerting/metric_threshold/lib/transform_metrics_explorer_data.ts
1,x-pack/plugins/infra/public/alerting/metric_threshold/rule_data_formatters.ts
1,x-pack/plugins/infra/public/apps/common_styles.ts
2,x-pack/plugins/infra/public/components/logging/log_text_stream/item.ts
4,x-pack/plugins/infra/public/containers/logs/log_analysis/log_analysis_module_configuration.ts
32,x-pack/plugins/infra/public/containers/logs/log_analysis/log_analysis_setup_state.ts
1,x-pack/plugins/infra/public/containers/logs/log_analysis/modules/log_entry_categories/module_descriptor.ts
12,x-pack/plugins/infra/public/containers/logs/log_analysis/modules/log_entry_categories/use_log_entry_categories_quality.ts
1,x-pack/plugins/infra/public/containers/logs/log_analysis/modules/log_entry_rate/module_descriptor.ts
3,x-pack/plugins/infra/public/containers/logs/log_entry.ts
3,x-pack/plugins/infra/public/containers/logs/log_filter/log_filter_state.ts
5,x-pack/plugins/infra/public/containers/logs/log_highlights/log_summary_highlights.ts
25,x-pack/plugins/infra/public/containers/logs/log_position/log_position_state.ts
